R_in_CGS,V_in_CGS,Bo,We,Coefficient of Restitution,Contact Time,Maximum Radius
0.02,39.714285714285715,0.0054444444444444445,0.43811791383219956,0.8788043897445718,2.4907218708890584,0.6953651451097649
0.02,40.44897959183673,0.0054444444444444445,0.4544777638946734,0.8762130717737426,2.4830510305105884,0.6995767466851972
0.02,41.183673469387756,0.0054444444444444445,0.4711374890092091,0.8735944439754372,2.4753801901321193,0.7030654451291855
0.02,41.91836734693878,0.0054444444444444445,0.48809708917580646,0.8709641328410682,2.4677093497536493,0.7065019554530136
0.02,42.6530612244898,0.0054444444444444445,0.5053565643944653,0.8683194488222902,2.458504341299486,0.7098353247389805
0.02,43.38775510204081,0.0054444444444444445,0.5229159146651858,0.8656702505006728,2.450833500921017,0.7130162301259211
0.02,44.12244897959184,0.0054444444444444445,0.540775139987968,0.8630140808009293,2.444696828618241,0.7159971671321681
0.02,44.85714285714286,0.0054444444444444445,0.5589342403628119,0.8603482582986218,2.437025988239771,0.7192178424300271
0.02,45.59183673469388,0.0054444444444444445,0.5773932157897173,0.8576716869153528,2.4324234840126895,0.7216795807913787
0.02,46.3265306122449,0.0054444444444444445,0.5961520662686844,0.8552013479463589,2.426286811709914,0.7439020733226978
0.02,47.06122448979592,0.0054444444444444445,0.615210791799713,0.852923238339167,2.4201501394071387,0.7523822813015881
0.02,47.79591836734694,0.0054444444444444445,0.6345693923828036,0.850655211347729,2.414013467104363,0.7588534971661556
0.02,48.53061224489796,0.0054444444444444445,0.6542278680179554,0.8483549630750893,2.407876794801587,0.7644919583134435
0.02,49.26530612244898,0.0054444444444444445,0.6741862187051693,0.8460155679550266,2.4017401224988113,0.7693946510334628
0.02,50.0,0.0054444444444444445,0.6944444444444444,0.843630162173815,2.395603450196036,0.7738143547012094
0.02,0.1,0.0054444444444444445,2.7777777777777783e-06,0.3919202558512936,7.953894388435062,0.09763857300296197
0.02,0.11836734693877551,0.0054444444444444445,3.891896894812347e-06,0.38845605725358096,7.846502623136487,0.0976414970940656
0.02,0.13673469387755102,0.0054444444444444445,5.193437919385441e-06,0.5829372020374102,7.749850034367771,0.09764489845341878
0.02,0.15510204081632656,0.0054444444444444445,6.682400851497064e-06,0.681512850523999,7.660868285977525,0.09764869467258079
0.02,0.17346938775510207,0.0054444444444444445,8.35878569114721e-06,0.7419713764674851,7.578023209890054,0.09765278869224825
0.02,0.19183673469387758,0.0054444444444444445,1.022259243833588e-05,0.7823342935393275,7.498246469953971,0.09765706740054346
0.02,0.21020408163265308,0.0054444444444444445,1.2273821093063078e-05,0.8107177752576425,7.421538066169276,0.09766086853131639
0.02,0.2285714285714286,0.0054444444444444445,1.45124716553288e-05,0.8314210011271773,7.347897998535968,0.09766453531795136
0.02,0.2469387755102041,0.0054444444444444445,1.6938544125133046e-05,0.8469789267625267,7.277326267054049,0.09766732043449214
0.02,0.2653061224489796,0.0054444444444444445,1.955203850247582e-05,0.8589952532836688,7.208288703647822,0.09766896797113837
0.02,0.2836734693877551,0.0054444444444444445,2.2352954787357123e-05,0.8685442813244805,7.140785308317291,0.09766921060388964
0.02,0.3020408163265306,0.0054444444444444445,2.5341292979776944e-05,0.8763799828839044,7.074816081062453,0.09766777940870608
0.02,0.3204081632653062,0.0054444444444444445,2.8517053079735307e-05,0.8830490878789243,7.008846853807615,0.09766366700266284
0.02,0.3387755102040817,0.0054444444444444445,3.188023508723218e-05,0.8889422918110242,6.942877626552777,0.0976646500415454
0.02,0.3571428571428572,0.0054444444444444445,3.543083900226759e-05,0.894326536799673,6.876908399297939,0.09767985917101865
0.02,0.3755102040816327,0.0054444444444444445,3.916886482484151e-05,0.8993584196931458,6.809405003967407,0.0976940153909945
0.02,0.3938775510204082,0.0054444444444444445,4.309431255495397e-05,0.9041061149065405,6.740367440561181,0.09770589415058781
0.02,0.41224489795918373,0.0054444444444444445,4.7207182192604947e-05,0.90857401153344,6.668261541003567,0.09771413486914692
0.02,0.43061224489795924,0.0054444444444444445,5.1507473737794456e-05,0.9127448177858727,6.59462147337026,0.09771697014677884
0.02,0.44897959183673475,0.0054444444444444445,5.599518719052248e-05,0.916607012106729,6.519447237661258,0.09771242711748454
0.02,0.46734693877551026,0.0054444444444444445,6.0670322550789036e-05,0.9201582583918754,6.445807170027951,0.09769880699143844
0.02,0.48571428571428577,0.0054444444444444445,6.553287981859411e-05,0.9234103121531462,6.3752354385460315,0.09767440132217392
0.02,0.5040816326530613,0.0054444444444444445,7.058285899393773e-05,0.9263906148574449,6.3092662112911935,0.09764279940883498
0.02,0.5224489795918368,0.0054444444444444445,7.582026007681985e-05,0.9291265110114332,6.246365320187743,0.09760751045883462
0.02,0.5408163265306123,0.0054444444444444445,8.124508306724052e-05,0.9316533380820728,6.189601101387068,0.09760754021761793
0.02,0.5591836734693878,0.0054444444444444445,8.685732796519971e-05,0.934003234117751,6.135905218737781,0.097607445835405
0.02,0.5775510204081633,0.0054444444444444445,9.26569947706974e-05,0.9362129820554485,6.085277672239883,0.09760754330395571
0.02,0.5959183673469388,0.0054444444444444445,9.864408348373365e-05,0.9383084481111831,6.0377184618933715,0.09760750802747628
0.02,0.6142857142857143,0.0054444444444444445,0.0001048185941043084,0.9400033839814063,5.994761755773942,0.1714114936336553
0.02,0.6326530612244898,0.0054444444444444445,0.00011118052663242167,0.9406126218482965,5.953339217730207,0.17141797322924074
0.02,0.6510204081632653,0.0054444444444444445,0.00011772988106807349,0.9408243073234562,5.91191667968647,0.17140807207019307
0.02,0.6693877551020408,0.0054444444444444445,0.00012446665741126385,0.9408744501802576,5.870494141642736,0.171390926380898
0.02,0.6877551020408164,0.0054444444444444445,0.0001313908556619927,0.9408923939717949,5.830605771674694,0.17136944695999726
0.02,0.7061224489795919,0.0054444444444444445,0.00013850247582026007,0.9409744739342216,5.7891832336309585,0.1713446063865608
0.02,0.7244897959183674,0.0054444444444444445,0.00014580151788606602,0.9411941581080219,5.747760695587223,0.1713173393406475
0.02,0.7428571428571429,0.0054444444444444445,0.00015328798185941045,0.9416073524222469,5.706338157543488,0.17128911186763204
0.02,0.7612244897959184,0.0054444444444444445,0.0001609618677402934,0.9422514869788102,5.663381451424058,0.17125955263135695
0.02,0.7795918367346939,0.0054444444444444445,0.00016882317552871493,0.9431516334078115,5.618890577228935,0.17123013120838526
0.02,0.7979591836734694,0.0054444444444444445,0.00017687190522467492,0.9443045085314032,5.574399703033812,0.1711997927852449
0.02,0.8163265306122449,0.0054444444444444445,0.00018510805682817348,0.9456978005640242,5.528374660762994,0.1711700743478974
0.02,0.8346938775510204,0.0054444444444444445,0.0001935316303392105,0.9473018367185692,5.483883786567871,0.17114131294651608
0.02,0.8530612244897959,0.0054444444444444445,0.00020214262575778613,0.9490608911002617,5.439392912372748,0.17111387996397295
0.02,0.8714285714285714,0.0054444444444444445,0.00021094104308390024,0.9508963945656557,5.396436206253318,0.17108922803133247
0.02,0.889795918367347,0.0054444444444444445,0.0002199268823175529,0.9527469489293825,5.3565478362852765,0.17106576910468108
0.02,0.9081632653061225,0.0054444444444444445,0.00022910014345874403,0.9545670581295207,5.319727802468623,0.17104754738339206
0.02,0.926530612244898,0.0054444444444444445,0.00023846082650747375,0.9563236209280628,5.285976104803357,0.17103599548071385
0.02,0.9448979591836735,0.0054444444444444445,0.00024800893146374194,0.9579819355526706,5.255292743289479,0.17103259026118012
0.02,0.963265306122449,0.0054444444444444445,0.00025774445832754873,0.9595028254323664,5.227677717926989,0.1710425624413599
0.02,0.9816326530612246,0.0054444444444444445,0.00026766740709889406,0.9608537382576862,5.201596860640192,0.1710649642330367
0.02,1.0,0.0054444444444444445,0.0002777777777777778,0.9620268545934111,5.177050171429089,0.17108677956631024
0.02,51.0,0.0054444444444444445,0.7225,0.8403162906446114,2.3879326098175664,0.7794062749791351
0.02,51.38775510204081,0.0054444444444444445,0.733528159563145,0.8390152689219974,2.384864273666179,0.7814281821266578
0.02,51.775510204081634,0.0054444444444444445,0.7446398491369337,0.8377078426910768,2.3817959375147906,0.7835317671015527
0.02,52.16326530612245,0.0054444444444444445,0.7558350687213661,0.8363918287808706,2.378727601363403,0.7857174629411883
0.02,52.55102040816327,0.0054444444444444445,0.7671138183164423,0.8350749348045989,2.377193433287709,0.7874209955838007
0.02,52.93877551020408,0.0054444444444444445,0.778476097922162,0.8337584900536674,2.3741250971363215,0.7891869004807649
0.02,53.326530612244895,0.0054444444444444445,0.7899219075385255,0.8324341218575223,2.371056760984933,0.7910151612630838
0.02,53.714285714285715,0.0054444444444444445,0.801451247165533,0.8311160342242324,2.3679884248335457,0.7929058671328785
0.02,54.10204081632653,0.0054444444444444445,0.8130641168031838,0.8297942001675931,2.3649200886821578,0.7948589115918956
0.02,54.48979591836735,0.0054444444444444445,0.8247605164514787,0.8284721596164777,2.363385920606464,0.7962656860217417
0.02,54.87755102040816,0.0054444444444444445,0.8365404461104169,0.8271507022386188,2.360317584455076,0.7977179182005816
0.02,55.265306122448976,0.0054444444444444445,0.848403905779999,0.825835981469321,2.357249248303688,0.7992155395888529
0.02,55.6530612244898,0.0054444444444444445,0.860350895460225,0.8245243214917234,2.3541809121523007,0.8007584799213808
0.02,56.04081632653061,0.0054444444444444445,0.8723814151510945,0.8232092285930469,2.3526467440766066,0.8023466322811659
0.02,56.42857142857143,0.0054444444444444445,0.8844954648526078,0.8219008883630421,2.349578407925219,0.803979644659127
0.02,56.816326530612244,0.0054444444444444445,0.8966930445647646,0.8206027213318764,2.3465100717738308,0.8056572699765543
0.02,57.20408163265306,0.0054444444444444445,0.9089741542875652,0.8192957002190187,2.344975903698137,0.8067203853143095
0.02,57.59183673469388,0.0054444444444444445,0.9213387940210098,0.8180008361799928,2.341907567546749,0.8084792513941779
0.02,57.97959183673469,0.0054444444444444445,0.9337869637650977,0.8167111593946093,2.3388392313953617,0.8096102213079761
0.02,58.36734693877551,0.0054444444444444445,0.9463186635198296,0.815421906212777,2.3373050633196675,0.8114489691069324
