R_in_CGS,V_in_CGS,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,clea radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
nothing,nothing,0.0,0.0012,0.0,0.96839654020624,0.96839654020624,4.0233557785072716,4.0233557785072716,1.9461112077781157,1.9461112077781157,1.9223125988444656,1.9223125988444656,1.0070381887360897,1.0070381887360897,1.721336580928564,1.721336580928564,0.24671246326161023,0.24671246326161023,0.857599954312894,0.857599954312894,1.0058563937562266,1.0058563937562266,1.701392395944543,1.701392395944543,1.9558720502493423,1.9558720502493423,2.0143626833861,2.0143626833861
nothing,nothing,0.0,0.0015,0.0,0.9680579211777269,0.9680579211777269,3.9267031897385554,3.9267031897385554,1.9399682894342027,1.9399682894342027,1.8701508842708727,1.8701508842708727,1.0080065696802882,1.0080065696802882,1.7090632363230125,1.7090632363230125,0.24692539595467078,0.24692539595467078,0.727195667878912,0.727195667878912,1.006821672916163,1.006821672916163,1.6967898917174613,1.6967898917174613,1.9514456998832166,1.9514456998832166,1.9867476580236096,1.9867476580236096
nothing,nothing,0.0,0.0018,0.0,0.9669802351980819,0.9669802351980819,3.8730073070892685,3.8730073070892685,1.9344043522547725,1.9344043522547725,1.7642932870479933,1.7642932870479933,1.0089013283391401,1.0089013283391401,1.7059949001716248,1.7059949001716248,0.2471002894127712,0.2471002894127712,0.6382139194886653,0.6382139194886653,1.0077011325101264,1.0077011325101264,1.6737773705820527,1.6737773705820527,1.947493776441042,1.947493776441042,1.965269304963895,1.965269304963895
nothing,nothing,0.0,0.0023,0.0,0.9646925870988009,0.964692587098801,3.820845592515676,3.820845592515676,1.9263416732543057,1.9263416732543057,1.7290074213070332,1.7290074213070332,1.010159802355296,1.010159802355296,1.6829823790362162,1.6829823790362162,0.24734655865487137,0.24734655865487137,0.5354246584171736,0.5354246584171736,1.0089293354197766,1.0089293354197766,1.6200814879327659,1.6200814879327659,1.9416379501150831,1.9416379501150831,1.9407226157527926,1.9407226157527926
nothing,nothing,0.0,0.0029,0.0,0.9627875520170206,0.9627875520170207,3.7732863821691645,3.7732863821691645,1.9179629168635421,1.9179629168635421,1.6783798748091343,1.6783798748091343,1.0114371909934359,1.0114371909934359,1.6814482109605222,1.6814482109605222,0.31610738812626543,0.31610738812626543,2.362618836568617,2.362618836568617,1.010189246810672,1.010189246810672,1.6216156560084598,1.6216156560084598,1.9354517973048209,1.9354517973048209,1.917710094617384,1.917710094617384
nothing,nothing,0.0,0.0037,0.0,0.9651719998890586,0.9651719998890586,3.734932180276817,3.734932180276817,1.9081125033496913,1.9081125033496913,1.6277523283112354,1.6277523283112354,1.0130238431216996,1.0130238431216996,1.6753115386577466,1.6753115386577466,0.3158146652212612,0.3158146652212612,2.5191039802893953,2.5191039802893953,1.0118164833495396,1.0118164833495396,1.6845165471119101,1.6845165471119101,1.9282816012028312,1.9282816012028312,1.8870267331035058,1.8870267331035058
nothing,nothing,0.0,0.0047,0.0,0.9694106495681909,0.969410649568191,3.664360448794897,3.664360448794897,1.8973032029338965,1.8973032029338965,1.601671471024439,1.601671471024439,1.015342466206852,1.015342466206852,1.7105974043987064,1.7105974043987064,0.3154037922514994,0.3154037922514994,2.594278215998397,2.594278215998397,1.0140052732853637,1.0140052732853637,1.6768457067334406,1.6768457067334406,1.9207453449063365,1.9207453449063365,1.847138363135464,1.847138363135464
nothing,nothing,0.0,0.006,0.0,0.9703747534405466,0.9703747534405465,3.602993725767141,3.602993725767141,1.884906350700899,1.884906350700899,1.5464414202994583,1.5464414202994583,1.0180085661893539,1.0180085661893539,1.6661065302035831,1.6661065302035831,0.3151133971280684,0.3151133971280684,0.9174325092649565,0.9174325092649565,1.0166995979774986,1.0166995979774986,1.6584356898251136,1.6584356898251136,1.9123817640949645,1.9123817640949645,1.8087841612431166,1.8087841612431166
nothing,nothing,0.0,0.0075,0.0,0.9690773489923366,0.9690773489923366,3.550832011193548,3.550832011193548,1.872160646230059,1.872160646230059,1.6661065302035831,1.6661065302035831,1.020617432889785,1.020617432889785,1.6476965132952563,1.6476965132952563,0.31593271517998944,0.31593271517998944,0.7624815336198718,0.7624815336198718,1.0192864624783937,1.0192864624783937,1.6384915048410928,1.6384915048410928,1.904001623381273,1.904001623381273,1.7765666316535444,1.7765666316535444
nothing,nothing,0.0,0.0095,0.0,0.9670830468927416,0.9670830468927417,3.5124778093012003,3.5124778093012003,1.855865089454332,1.855865089454332,1.5940006306459695,1.5940006306459695,1.023633663520657,1.023633663520657,1.6415598409924805,1.6415598409924805,0.38234799775653316,0.38234799775653316,2.215338701302002,2.215338701302002,1.0222819967140133,1.0222819967140133,1.6246839921598477,1.6246839921598477,1.8942147121745325,1.8942147121745325,1.7443491020639723,1.7443491020639723
